,idx
559,72271
560,72272
561,72275
562,72277
563,72279
564,72283
565,72284
566,72285
567,72286
568,72288
569,72290
570,72291
571,72292
572,72294
573,72295
574,72296
575,72297
576,72298
577,72300
578,72301
579,72302
580,73127
581,73128
582,73130
583,73132
584,73133
585,73134
586,73135
587,73139
588,73141
589,73147
590,73148
591,73152
592,73153
593,73154
594,73157
595,73158
596,73159
597,73160
598,73163
599,73166
600,73168
601,73169
602,73170
603,73171
604,73173
605,73174
606,73176
607,73178
608,73179
609,73180
610,73184
611,73185
612,73186
613,73189
614,73190
615,73191
616,73192
617,73193
618,73194
619,73195
620,73196
621,73199
622,73202
623,73203
624,73205
625,73207
626,73209
627,73211
628,73214
629,73217
630,73219
631,73222
632,73224
633,73229
634,73232
635,73233
636,73234
637,73237
638,73238
639,73242
640,73243
641,73244
642,73248
643,73249
644,73250
645,73254
646,73255
647,73257
648,73258
649,73262
650,73266
651,73268
652,73269
653,73273
654,73274
655,73275
656,73281
657,73282
658,73283
659,73284
660,73285
661,73286
662,73288
663,73292
664,73293
665,73295
666,73298
667,73299
668,73301
669,73307
670,73309
671,73311
672,73313
673,73314
674,73315
675,73316
676,73318
677,73319
678,73320
679,73321
680,73324
681,73325
682,73326
683,73336
684,73337
685,73339
686,73340
687,73341
688,73347
689,73348
690,73349
691,73352
692,73356
693,73360
694,73361
695,73366
696,73367
697,73368
698,73371
699,73372
700,73373
701,73375
702,73376
703,73377
704,73383
705,73385
706,73388
707,73389
708,73390
709,73391
710,73392
711,73400
712,73993
713,73995
714,74025
715,74030
716,74095
717,74098
718,74124
719,74134
720,74179
721,74180
722,74181
723,74199
724,76294
725,76295
726,76296
727,76297
728,76298
729,76299
730,76300
731,76301
732,76306
733,76307
734,76312
735,76313
736,76318
737,76324
738,76328
739,76331
740,76332
741,76334
742,76335
743,76336
744,76337
745,76338
746,76339
747,76343
748,76439
749,76440
750,76441
751,76442
752,76443
753,76444
754,76445
755,76446
756,76447
757,76448
758,76449
759,76450
760,76451
761,76452
762,76455
763,76456
